,id_categoria,categoria
329,337,frozen dessert supplier
330,338,gas company
331,339,distribution service
332,340,natural goods store
333,341,winemaking supply store
334,342,salsa classes
335,343,fireplace store
336,344,amusement center
337,345,bowling alley
338,346,corporate entertainment service
339,347,laser tag center
340,348,video arcade
341,349,beverage distributor
342,350,poster store
343,351,dance club
344,352,gas installation service
345,353,grill
346,354,gasfitter
347,355,travellers lodge
348,356,oil change service
349,357,brewing supply store
350,358,food service
351,359,pharmacy
352,360,medical supply store
353,361,culinary school
354,362,hawaiian restaurant
355,363,chilean restaurant
356,364,beauty salon
357,365,day spa
358,366,spa
359,367,dentist
360,368,dermatologist
361,369,jewelry buyer
362,370,spa and health club
363,371,womens clothing store
364,372,chauffeur service
365,373,lodging
366,374,spice store
367,375,indian grocery store
368,376,small plates restaurant
369,377,bait shop
370,378,balloon store
371,379,banner store
372,380,costume store
373,381,fried chicken takeaway
374,382,water utility company
375,383,candle store
376,384,electronic parts supplier
377,385,electronics store
378,386,incense supplier
379,387,vaporizer store
380,388,virtual office rental
381,389,grill store
382,390,cabinet maker
383,391,gas logs supplier
384,392,crab house
385,393,farmers market
386,394,organic food store
387,395,construction company
388,396,general contractor
389,397,landscape designer
390,398,sunroom contractor
391,399,yoga studio
392,400,corporate office
393,401,noodle shop
394,402,cake decorating equipment shop
395,403,baking supply store
396,404,fishing store
397,405,dance school
398,406,general store
399,407,airline ticket agency
400,408,shipping service
401,409,crperie
402,410,pet adoption service
403,411,fishing charter
404,412,hookah store
405,413,gym
406,414,gymnastics center
407,415,parkour spot
408,416,rock climbing gym
409,417,bicycle rental service
410,418,beach entertainment shop
411,419,beach volleyball court
412,420,sports equipment rental service
413,421,surf shop
414,422,southeast asian restaurant
415,423,donations center
416,424,consignment shop
417,425,thrift store
418,426,dj service
419,427,argentinian restaurant
420,428,bicycle shop
421,429,british restaurant
422,430,vegetarian cafe and deli
423,431,motorcycle parts store
424,432,motorcycle shop
425,433,indoor playground
426,434,continental restaurant
427,435,oyster bar restaurant
428,436,raw food restaurant
429,437,african restaurant
430,438,oriental goods store
431,439,outdoor furniture store
432,440,bar stool supplier
433,441,fireplace manufacturer
434,442,furniture accessories supplier
435,443,furniture maker
436,444,furniture manufacturer
437,445,kitchen remodeler
438,446,market operator
439,447,ballroom dance instructor
440,448,physical fitness program
441,449,samba school
442,450,bbq area
443,451,dive shop
444,452,scuba instructor
445,453,scuba tour agency
446,454,church
447,455,after school program
448,456,anglican church
449,457,episcopal church
450,458,kindergarten
451,459,preschool
452,460,summer camp
453,461,collectibles store
454,462,sports memorabilia store
455,464,diving center
456,465,doctor
457,466,meat dish restaurant
458,467,dog cafe
459,469,wellness center
460,470,boat tour agency
461,471,sporting goods store
462,472,balloon artist
463,473,confectionery wholesaler
464,474,sake brewery
465,475,restaurant supply store
466,476,garden
467,477,coffee machine supplier
468,478,popcorn store
469,479,chicken shop
470,480,indian takeaway
471,481,gastropub
472,482,marine supply store
473,483,outdoor sports store
474,484,produce market
475,485,food delivery
476,486,party planner
477,487,air compressor supplier
478,488,air compressor repair service
479,489,satellite communication service
480,490,fruit and vegetable store
481,491,methodist church
482,492,aromatherapy supply store
483,493,honey farm
484,494,sweets and dessert buffet
485,495,helium gas supplier
486,496,pancake restaurant
487,497,traditional american restaurant
488,498,acupuncture clinic
489,499,health consultant
490,500,massage therapist
491,501,pain management physician
492,502,skin care clinic
493,503,goldfish store
494,504,sports club
495,505,boat storage facility
496,506,distillery
497,507,hunting and fishing store
498,508,archery range
499,509,archery store
500,510,hunting store
501,511,fruits wholesaler
502,512,music school
503,513,recording studio
504,514,ethnic restaurant
505,515,soup restaurant
506,516,trucking company
507,517,wedding buffet
508,519,fiberglass supplier
509,520,fresh food market
510,521,canoe  kayak tour agency
511,522,dance hall
512,523,concert hall
513,524,produce wholesaler
514,525,flower delivery
515,526,flower designer
516,527,rare book store
517,528,french steakhouse restaurant
518,529,office equipment rental service
519,530,vending machine supplier
520,531,yoga instructor
521,532,yoga retreat center
522,533,handicrafts wholesaler
523,534,fishing pier
524,535,farm
525,536,aquarium shop
526,537,exporter
527,538,community center
528,539,gift wrap store
529,540,confectionery
530,541,dim sum restaurant
531,542,book store
532,543,recreation center
533,545,kebab shop
534,547,cooking class
535,548,bingo hall
536,549,southwestern restaurant us
537,550,wine cellar
538,551,wine club
539,552,pet friendly accommodation
540,553,wifi spot
541,554,african goods store
542,555,art school
543,556,playground
544,557,pottery store
545,558,bicycle repair shop
546,559,glass shop
547,560,sundae restaurant
548,561,seafood farm
549,562,indonesian restaurant
550,563,japanese delicatessen
551,564,hot pot restaurant
552,565,drivein movie theater
553,566,seafood
